Movie,Co-Producing Countries,Genre,Production Budget ($),Worldwide Box Office to Date ($),Trailer
The Glorias,United States,Drama,21500000.0,53715,https://www.the-numbers.com/movie/Glorias-The-(2020)#tab=trailer
Harry Potter Film Fest,United States,Drama,21500000.0,50951,No Trailer
The Departure,United States,Drama,21500000.0,50000,No Trailer
Spree,United States,Black Comedy,21500000.0,49494,No Trailer
The Way I See it,United States,Documentary,21500000.0,49030,https://www.the-numbers.com/movie/Way-I-See-it-The-(2020)#tab=trailer
VHYes,United States,Comedy,21500000.0,47037,No Trailer
The Stand-In,United States,Comedy,21500000.0,46468,No Trailer
She is the Ocean,"Germany,Indonesia,Portugal,United States",Documentary,21500000.0,46035,No Trailer
The Postcard Killings,United States,Thriller/Suspense,21500000.0,39206,No Trailer
Hillbilly Elegy,United States,Drama,45000000.0,38852,No Trailer
10 Things We Should Do Before We Break Up,United States,Comedy,21500000.0,38426,No Trailer
Anti-Life,"Canada,United States",Action,21500000.0,38424,No Trailer
Miss Juneteenth,United States,Drama,21500000.0,38355,No Trailer
Sin Origen,United States,Horror,21500000.0,38056,No Trailer
Three Christs,United States,Drama,21500000.0,37788,No Trailer
Other Music,United States,Documentary,21500000.0,37191,No Trailer
Juvenile Delinquents,United States,Drama,21500000.0,36932,No Trailer
Wake Up,United States,Horror,21500000.0,35832,No Trailer
Arthur & Merlin: Knights of Camelot,United States,Action,21500000.0,34775,No Trailer
Abe,"Brazil,United States",Documentary,21500000.0,33439,No Trailer
Friendsgiving,United States,Comedy,21500000.0,33126,No Trailer
Embattled,United States,Drama,21500000.0,32259,No Trailer
Centigrade,United States,Thriller/Suspense,21500000.0,31869,No Trailer
Wu Xia 2 the Code,United States,Action,21500000.0,31326,No Trailer
Counter Column,United States,Drama,21500000.0,30796,No Trailer
Saving Santa,"India,United Kingdom,United States",Adventure,21500000.0,30487,No Trailer
After Parkland,United States,Documentary,21500000.0,30444,No Trailer
The Manson Family Massacre,"United Kingdom,United States",Horror,21500000.0,30334,No Trailer
They Reach,United States,Horror,21500000.0,30288,No Trailer
Rent-A-Pal,United States,Horror,21500000.0,29768,No Trailer
Olympic Dreams,"Republic of Korea,United States",Romantic Comedy,21500000.0,29450,No Trailer
Tread,United States,Documentary,21500000.0,29136,No Trailer
Buffaloed,United States,Comedy,21500000.0,29118,No Trailer
Cane River,United States,Drama,21500000.0,27317,No Trailer
José,"Guatemala,United States",Drama,21500000.0,26563,No Trailer
The Artist’s Wife,United States,Drama,21500000.0,26238,No Trailer
Girl,"Canada,United States",Thriller/Suspense,21500000.0,25955,No Trailer
Sh*thouse,United States,Comedy,15000.0,24745,No Trailer
The Penitent Thief,United States,Drama,21500000.0,23823,No Trailer
Premature,United States,Drama,21500000.0,23071,No Trailer
Tar,United States,Horror,21500000.0,22307,No Trailer
